exec_name,block_size,variant,throughput,time_ms,exp,n
cu8_reduction_add_64_1,64,1,115942030.08056,0.02208,8,256
cu8_reduction_add_64_1,64,1,186915888.123788,0.027392,9,512
cu8_reduction_add_64_1,64,1,381861581.841661,0.026816,10,1024
cu8_reduction_add_64_1,64,1,788177337.918782,0.025984,11,2048
cu8_reduction_add_64_1,64,1,1560975600.71213,0.02624,12,4096
cu8_reduction_add_64_1,64,1,2990654209.980601,0.027392,13,8192
cu8_reduction_add_64_1,64,1,5583424224.167415,0.029344,14,16384
cu8_reduction_add_64_1,64,1,10229770112.693026,0.032032,15,32768
cu8_reduction_add_64_1,64,1,15912975833.670456,0.041184,16,65536
cu8_reduction_add_64_1,64,1,24541641417.53823,0.053408,17,131072
cu8_reduction_add_64_1,64,1,34376835934.099625,0.076256,18,262144
cu8_reduction_add_64_1,64,1,45334808879.3831,0.115648,19,524288
cu8_reduction_add_64_1,64,1,52724055683.36118,0.19888,20,1048576
cu8_reduction_add_64_1,64,1,58972375388.75857,0.355616,21,2097152
cu8_reduction_add_64_1,64,1,61134326915.05692,0.68608,22,4194304
cu8_reduction_add_64_1,64,1,61620046310.35693,1.361344,23,8388608
cu8_reduction_add_64_1,64,1,58394369268.02603,2.873088,24,16777216
cu8_reduction_add_128_1,128,1,107382551.212988,0.02384,8,256
cu8_reduction_add_128_1,128,1,188457007.433783,0.027168,9,512
cu8_reduction_add_128_1,128,1,386007237.392752,0.026528,10,1024
cu8_reduction_add_128_1,128,1,764635597.071032,0.026784,11,2048
cu8_reduction_add_128_1,128,1,1476355249.966678,0.027744,12,4096
cu8_reduction_add_128_1,128,1,3188044792.537126,0.025696,13,8192
cu8_reduction_add_128_1,128,1,5344467658.217464,0.030656,14,16384
cu8_reduction_add_128_1,128,1,9216921650.36217,0.035552,15,32768
cu8_reduction_add_128_1,128,1,15669471915.380402,0.041824,16,65536
cu8_reduction_add_128_1,128,1,27107875147.82988,0.048352,17,131072
cu8_reduction_add_128_1,128,1,33642710442.555473,0.07792,18,262144
cu8_reduction_add_128_1,128,1,45996631131.23109,0.113984,19,524288
cu8_reduction_add_128_1,128,1,53507511370.840126,0.195968,20,1048576
cu8_reduction_add_128_1,128,1,58824162564.78595,0.356512,21,2097152
cu8_reduction_add_128_1,128,1,61380538031.70529,0.683328,22,4194304
cu8_reduction_add_128_1,128,1,62535842963.32762,1.341408,23,8388608
cu8_reduction_add_128_1,128,1,61513768062.13115,2.727392,24,16777216
cu8_reduction_add_256_1,256,1,82474227.650322,0.03104,8,256
cu8_reduction_add_256_1,256,1,184119675.581716,0.027808,9,512
cu8_reduction_add_256_1,256,1,399999993.733945,0.0256,10,1024
cu8_reduction_add_256_1,256,1,789149193.32221,0.025952,11,2048
cu8_reduction_add_256_1,256,1,1553398053.601521,0.026368,12,4096
cu8_reduction_add_256_1,256,1,3022432089.734771,0.027104,13,8192
cu8_reduction_add_256_1,256,1,5811577680.98328,0.028192,14,16384
cu8_reduction_add_256_1,256,1,9241877101.376999,0.035456,15,32768
cu8_reduction_add_256_1,256,1,16529459178.404741,0.039648,16,65536
cu8_reduction_add_256_1,256,1,22844394736.861706,0.057376,17,131072
cu8_reduction_add_256_1,256,1,33587536027.479267,0.078048,18,262144
cu8_reduction_add_256_1,256,1,42980062847.119156,0.121984,19,524288
cu8_reduction_add_256_1,256,1,50505549278.851395,0.207616,20,1048576
cu8_reduction_add_256_1,256,1,55989747636.47926,0.37456,21,2097152
cu8_reduction_add_256_1,256,1,58449052768.75942,0.7176,22,4194304
cu8_reduction_add_256_1,256,1,59798349202.281456,1.402816,23,8388608
cu8_reduction_add_256_1,256,1,57954148430.38308,2.894912,24,16777216
cu8_reduction_add_512_1,512,1,90395479.351059,0.02832,8,256
cu8_reduction_add_512_1,512,1,171489819.917629,0.029856,9,512
cu8_reduction_add_512_1,512,1,374269006.544064,0.02736,10,1024
cu8_reduction_add_512_1,512,1,719101115.306841,0.02848,11,2048
cu8_reduction_add_512_1,512,1,1370449695.272219,0.029888,12,4096
cu8_reduction_add_512_1,512,1,2708994709.642132,0.03024,13,8192
cu8_reduction_add_512_1,512,1,5535135133.463244,0.0296,14,16384
cu8_reduction_add_512_1,512,1,8178913630.928055,0.040064,15,32768
cu8_reduction_add_512_1,512,1,16138691786.765272,0.040608,16,65536
cu8_reduction_add_512_1,512,1,22200541931.513638,0.05904,17,131072
cu8_reduction_add_512_1,512,1,32251968487.203804,0.08128,18,262144
cu8_reduction_add_512_1,512,1,41668361929.35005,0.125824,19,524288
cu8_reduction_add_512_1,512,1,45644239727.38675,0.229728,20,1048576
cu8_reduction_add_512_1,512,1,50759816989.20999,0.413152,21,2097152
cu8_reduction_add_512_1,512,1,53378944695.21881,0.78576,22,4194304
cu8_reduction_add_512_1,512,1,54125079759.51176,1.549856,23,8388608
cu8_reduction_add_512_1,512,1,52093836337.77348,3.220576,24,16777216
cu8_reduction_add_1024_1,1024,1,69868995.955273,0.03664,8,256
cu8_reduction_add_1024_1,1024,1,119047618.703702,0.043008,9,512
cu8_reduction_add_1024_1,1024,1,252365932.051094,0.040576,10,1024
cu8_reduction_add_1024_1,1024,1,552677019.36192,0.037056,11,2048
cu8_reduction_add_1024_1,1024,1,1109185437.092465,0.036928,12,4096
cu8_reduction_add_1024_1,1024,1,2149454247.818128,0.038112,13,8192
cu8_reduction_add_1024_1,1024,1,4463818646.957597,0.036704,14,16384
cu8_reduction_add_1024_1,1024,1,7999999974.723323,0.04096,15,32768
cu8_reduction_add_1024_1,1024,1,14056280112.29764,0.046624,16,65536
cu8_reduction_add_1024_1,1024,1,18806244176.73051,0.069696,17,131072
cu8_reduction_add_1024_1,1024,1,24990847716.496094,0.104896,18,262144
cu8_reduction_add_1024_1,1024,1,28503827726.978157,0.183936,19,524288
cu8_reduction_add_1024_1,1024,1,31693587297.16367,0.330848,20,1048576
cu8_reduction_add_1024_1,1024,1,33139158671.912624,0.632832,21,2097152
cu8_reduction_add_1024_1,1024,1,34463609634.430176,1.217024,22,4194304
cu8_reduction_add_1024_1,1024,1,34505798312.12491,2.431072,23,8388608
cu8_reduction_add_1024_1,1024,1,29042403616.34688,5.7768,24,16777216
cu8_reduction_add_64_2,64,2,101394170.573356,0.025248,8,256
cu8_reduction_add_64_2,64,2,177187152.482541,0.028896,9,512
cu8_reduction_add_64_2,64,2,407124679.781867,0.025152,10,1024
cu8_reduction_add_64_2,64,2,803011284.408352,0.025504,11,2048
cu8_reduction_add_64_2,64,2,1649484518.981337,0.024832,12,4096
cu8_reduction_add_64_2,64,2,3204004986.53809,0.025568,13,8192
cu8_reduction_add_64_2,64,2,5798414539.791269,0.028256,14,16384
cu8_reduction_add_64_2,64,2,9360146196.156517,0.035008,15,32768
cu8_reduction_add_64_2,64,2,16383999984.74121,0.04,16,65536
cu8_reduction_add_64_2,64,2,24351962028.001804,0.053824,17,131072
cu8_reduction_add_64_2,64,2,33032258511.33389,0.07936,18,262144
cu8_reduction_add_64_2,64,2,42856395755.67883,0.122336,19,524288
cu8_reduction_add_64_2,64,2,50591323009.2018,0.207264,20,1048576
cu8_reduction_add_64_2,64,2,56085579080.96815,0.37392,21,2097152
cu8_reduction_add_64_2,64,2,59198772070.59771,0.708512,22,4194304
cu8_reduction_add_64_2,64,2,59771078652.61039,1.403456,23,8388608
cu8_reduction_add_64_2,64,2,56768157938.549,2.955392,24,16777216
cu8_reduction_add_128_2,128,2,80321285.233336,0.031872,8,256
cu8_reduction_add_128_2,128,2,184331796.638125,0.027776,9,512
cu8_reduction_add_128_2,128,2,394574596.661105,0.025952,10,1024
cu8_reduction_add_128_2,128,2,752941176.156065,0.0272,11,2048
cu8_reduction_add_128_2,128,2,1454545449.198047,0.02816,12,4096
cu8_reduction_add_128_2,128,2,2850779503.505263,0.028736,13,8192
cu8_reduction_add_128_2,128,2,5024533913.693233,0.032608,14,16384
cu8_reduction_add_128_2,128,2,8819982717.145878,0.037152,15,32768
cu8_reduction_add_128_2,128,2,16151419465.911892,0.040576,16,65536
cu8_reduction_add_128_2,128,2,22972517950.275356,0.057056,17,131072
cu8_reduction_add_128_2,128,2,34147561626.80392,0.076768,18,262144
cu8_reduction_add_128_2,128,2,43081777218.79758,0.121696,19,524288
cu8_reduction_add_128_2,128,2,50567900922.19996,0.20736,20,1048576
cu8_reduction_add_128_2,128,2,56047207275.93187,0.374176,21,2097152
cu8_reduction_add_128_2,128,2,59572766393.709404,0.704064,22,4194304
cu8_reduction_add_128_2,128,2,60594517506.339554,1.384384,23,8388608
cu8_reduction_add_128_2,128,2,59379126383.81217,2.82544,24,16777216
cu8_reduction_add_256_2,256,2,99255583.573148,0.025792,8,256
cu8_reduction_add_256_2,256,2,181818179.646459,0.02816,9,512
cu8_reduction_add_256_2,256,2,346320346.342512,0.029568,10,1024
cu8_reduction_add_256_2,256,2,692640687.230885,0.029568,11,2048
cu8_reduction_add_256_2,256,2,1553398046.743233,0.026368,12,4096
cu8_reduction_add_256_2,256,2,3084337319.162661,0.02656,13,8192
cu8_reduction_add_256_2,256,2,5831435135.223757,0.028096,14,16384
cu8_reduction_add_256_2,256,2,8804815127.103003,0.037216,15,32768
cu8_reduction_add_256_2,256,2,16062744793.42076,0.0408,16,65536
cu8_reduction_add_256_2,256,2,21300052125.116234,0.061536,17,131072
cu8_reduction_add_256_2,256,2,32226593392.86784,0.081344,18,262144
cu8_reduction_add_256_2,256,2,43854389565.45045,0.119552,19,524288
cu8_reduction_add_256_2,256,2,50173021263.38182,0.208992,20,1048576
cu8_reduction_add_256_2,256,2,53581882100.17695,0.391392,21,2097152
cu8_reduction_add_256_2,256,2,56834619594.72001,0.737984,22,4194304
cu8_reduction_add_256_2,256,2,58105729669.38586,1.44368,23,8388608
cu8_reduction_add_256_2,256,2,56187159260.46374,2.985952,24,16777216
cu8_reduction_add_512_2,512,2,85015939.316875,0.030112,8,256
cu8_reduction_add_512_2,512,2,163599182.607313,0.031296,9,512
cu8_reduction_add_512_2,512,2,330578514.784318,0.030976,10,1024
cu8_reduction_add_512_2,512,2,672975823.951753,0.030432,11,2048
cu8_reduction_add_512_2,512,2,1266073203.605527,0.032352,12,4096
cu8_reduction_add_512_2,512,2,2838137473.010553,0.028864,13,8192
cu8_reduction_add_512_2,512,2,5470085446.689809,0.029952,14,16384
cu8_reduction_add_512_2,512,2,9061946810.65954,0.03616,15,32768
cu8_reduction_add_512_2,512,2,15705521413.458767,0.041728,16,65536
cu8_reduction_add_512_2,512,2,22200542281.714622,0.05904,17,131072
cu8_reduction_add_512_2,512,2,32315581766.069794,0.08112,18,262144
cu8_reduction_add_512_2,512,2,39902581514.10261,0.131392,19,524288
cu8_reduction_add_512_2,512,2,45504791734.69244,0.230432,20,1048576
cu8_reduction_add_512_2,512,2,50008393666.50833,0.41936,21,2097152
cu8_reduction_add_512_2,512,2,52114030991.545364,0.804832,22,4194304
cu8_reduction_add_512_2,512,2,52894267879.92588,1.58592,23,8388608
cu8_reduction_add_512_2,512,2,50818366092.24579,3.301408,24,16777216
cu8_reduction_add_1024_2,1024,2,61871616.68819,0.041376,8,256
cu8_reduction_add_1024_2,1024,2,123266563.67274,0.041536,9,512
cu8_reduction_add_1024_2,1024,2,256615879.574184,0.039904,10,1024
cu8_reduction_add_1024_2,1024,2,525451557.8278,0.038976,11,2048
cu8_reduction_add_1024_2,1024,2,1068447401.059307,0.038336,12,4096
cu8_reduction_add_1024_2,1024,2,2079610057.427401,0.039392,13,8192
cu8_reduction_add_1024_2,1024,2,4306139604.640741,0.038048,14,16384
cu8_reduction_add_1024_2,1024,2,8597816938.747446,0.038112,15,32768
cu8_reduction_add_1024_2,1024,2,12681114428.666945,0.05168,16,65536
cu8_reduction_add_1024_2,1024,2,17685664730.70418,0.074112,17,131072
cu8_reduction_add_1024_2,1024,2,22315445126.00916,0.117472,18,262144
cu8_reduction_add_1024_2,1024,2,28102916048.13432,0.18656,19,524288
cu8_reduction_add_1024_2,1024,2,30120415294.47303,0.348128,20,1048576
cu8_reduction_add_1024_2,1024,2,31981260917.987644,0.655744,21,2097152
cu8_reduction_add_1024_2,1024,2,33302504979.2743,1.259456,22,4194304
