exec_name,block_size,variant,throughput,time_ms,exp,n
cu8_reduction_add_64_1,64,1,107238606.20156,0.023872,8,256
cu8_reduction_add_64_1,64,1,188902006.419783,0.027104,9,512
cu8_reduction_add_64_1,64,1,368663591.731101,0.027776,10,1024
cu8_reduction_add_64_1,64,1,697928028.020927,0.029344,11,2048
cu8_reduction_add_64_1,64,1,1653746785.374825,0.024768,12,4096
cu8_reduction_add_64_1,64,1,3216080400.943289,0.025472,13,8192
cu8_reduction_add_64_1,64,1,6102503030.702087,0.026848,14,16384
cu8_reduction_add_64_1,64,1,10281124622.525213,0.031872,15,32768
cu8_reduction_add_64_1,64,1,15950155786.563206,0.041088,16,65536
cu8_reduction_add_64_1,64,1,24482964857.38166,0.053536,17,131072
cu8_reduction_add_64_1,64,1,34711864641.5682,0.07552,18,262144
cu8_reduction_add_64_1,64,1,45714285829.70319,0.114688,19,524288
cu8_reduction_add_64_1,64,1,54504324438.16411,0.192384,20,1048576
cu8_reduction_add_64_1,64,1,59153353405.01809,0.354528,21,2097152
cu8_reduction_add_64_1,64,1,61530372963.20453,0.681664,22,4194304
cu8_reduction_add_64_1,64,1,62424156049.21581,1.343808,23,8388608
cu8_reduction_add_64_1,64,1,58430812750.441185,2.871296,24,16777216
cu8_reduction_add_64_1,64,1,58792829885.22369,5.707232,25,33554432
cu8_reduction_add_64_1,64,1,59072540101.10382,11.360416,26,67108864
cu8_reduction_add_64_1,64,1,59190835962.59816,22.675424,27,134217728
cu8_reduction_add_128_1,128,1,110192837.709264,0.023232,8,256
cu8_reduction_add_128_1,128,1,181611804.780557,0.028192,9,512
cu8_reduction_add_128_1,128,1,357541896.120309,0.02864,10,1024
cu8_reduction_add_128_1,128,1,784313718.728619,0.026112,11,2048
cu8_reduction_add_128_1,128,1,1358811036.882775,0.030144,12,4096
cu8_reduction_add_128_1,128,1,3220125801.20084,0.02544,13,8192
cu8_reduction_add_128_1,128,1,5739910220.122226,0.028544,14,16384
cu8_reduction_add_128_1,128,1,8198558889.418329,0.039968,15,32768
cu8_reduction_add_128_1,128,1,15669471828.14979,0.041824,16,65536
cu8_reduction_add_128_1,128,1,22959641442.32761,0.057088,17,131072
cu8_reduction_add_128_1,128,1,35038494572.45377,0.074816,18,262144
cu8_reduction_add_128_1,128,1,44377031088.58313,0.118144,19,524288
cu8_reduction_add_128_1,128,1,52911351454.55822,0.198176,20,1048576
cu8_reduction_add_128_1,128,1,59313965881.52425,0.353568,21,2097152
cu8_reduction_add_128_1,128,1,61435200549.394325,0.68272,22,4194304
cu8_reduction_add_128_1,128,1,62495590330.02159,1.342272,23,8388608
cu8_reduction_add_128_1,128,1,61431600457.31785,2.73104,24,16777216
cu8_reduction_add_128_1,128,1,62009591568.99833,5.411168,25,33554432
cu8_reduction_add_128_1,128,1,62236309991.939735,10.782912,26,67108864
cu8_reduction_add_128_1,128,1,62444601519.97372,21.493888,27,134217728
cu8_reduction_add_256_1,256,1,88888887.541346,0.0288,8,256
cu8_reduction_add_256_1,256,1,191616763.376661,0.02672,9,512
cu8_reduction_add_256_1,256,1,355160931.0879,0.028832,10,1024
cu8_reduction_add_256_1,256,1,672975811.079662,0.030432,11,2048
cu8_reduction_add_256_1,256,1,1538461542.34578,0.026624,12,4096
cu8_reduction_add_256_1,256,1,3043995200.829643,0.026912,13,8192
cu8_reduction_add_256_1,256,1,5150905385.50962,0.031808,14,16384
cu8_reduction_add_256_1,256,1,9481481337.743534,0.03456,15,32768
cu8_reduction_add_256_1,256,1,14765681285.215498,0.044384,16,65536
cu8_reduction_add_256_1,256,1,22321525852.025024,0.05872,17,131072
cu8_reduction_add_256_1,256,1,33767518257.693565,0.077632,18,262144
cu8_reduction_add_256_1,256,1,42845188779.92159,0.122368,19,524288
cu8_reduction_add_256_1,256,1,50638232335.54332,0.207072,20,1048576
cu8_reduction_add_256_1,256,1,56167295065.090065,0.373376,21,2097152
cu8_reduction_add_256_1,256,1,58818884870.67842,0.713088,22,4194304
cu8_reduction_add_256_1,256,1,59720696946.40578,1.40464,23,8388608
cu8_reduction_add_256_1,256,1,58013789013.79323,2.891936,24,16777216
cu8_reduction_add_256_1,256,1,58452310549.71332,5.74048,25,33554432
cu8_reduction_add_256_1,256,1,58602582188.664375,11.45152,26,67108864
cu8_reduction_add_256_1,256,1,58996429457.75145,22.750144,27,134217728
cu8_reduction_add_512_1,512,1,82644626.832488,0.030976,8,256
cu8_reduction_add_512_1,512,1,182440135.61157,0.028064,9,512
cu8_reduction_add_512_1,512,1,396039607.189235,0.025856,10,1024
cu8_reduction_add_512_1,512,1,746791119.970478,0.027424,11,2048
cu8_reduction_add_512_1,512,1,1351636757.364898,0.030304,12,4096
cu8_reduction_add_512_1,512,1,2390289451.849394,0.034272,13,8192
cu8_reduction_add_512_1,512,1,5727069370.059633,0.028608,14,16384
cu8_reduction_add_512_1,512,1,8062992075.60726,0.04064,15,32768
